datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/30/2020 10:00,9/30/2020 6:00,MIDATL,-1.241
9/30/2020 10:00,9/30/2020 6:00,SOUTH,-1.975
9/30/2020 10:00,9/30/2020 6:00,WEST,-0.241
9/30/2020 10:00,9/30/2020 6:00,RTO,-3.457
9/30/2020 10:00,9/30/2020 6:00,RFC,-1.482
9/30/2020 10:00,9/30/2020 6:00,OTHER,0
9/30/2020 9:00,9/30/2020 5:00,MIDATL,-1.252
9/30/2020 9:00,9/30/2020 5:00,SOUTH,-2.194
9/30/2020 9:00,9/30/2020 5:00,WEST,-0.234
9/30/2020 9:00,9/30/2020 5:00,RTO,-3.68
9/30/2020 9:00,9/30/2020 5:00,RFC,-1.486
9/30/2020 9:00,9/30/2020 5:00,OTHER,0
9/30/2020 8:00,9/30/2020 4:00,MIDATL,-1.259
9/30/2020 8:00,9/30/2020 4:00,SOUTH,-1.999
9/30/2020 8:00,9/30/2020 4:00,WEST,-0.236
9/30/2020 8:00,9/30/2020 4:00,RTO,-3.494
9/30/2020 8:00,9/30/2020 4:00,RFC,-1.495
9/30/2020 8:00,9/30/2020 4:00,OTHER,0
9/30/2020 7:00,9/30/2020 3:00,MIDATL,-1.254
9/30/2020 7:00,9/30/2020 3:00,SOUTH,-2.153
9/30/2020 7:00,9/30/2020 3:00,WEST,-0.229
9/30/2020 7:00,9/30/2020 3:00,RTO,-3.636
9/30/2020 7:00,9/30/2020 3:00,RFC,-1.483
9/30/2020 7:00,9/30/2020 3:00,OTHER,0
9/30/2020 6:00,9/30/2020 2:00,MIDATL,-1.223
9/30/2020 6:00,9/30/2020 2:00,SOUTH,-2.19
9/30/2020 6:00,9/30/2020 2:00,WEST,-0.234
9/30/2020 6:00,9/30/2020 2:00,RTO,-3.647
9/30/2020 6:00,9/30/2020 2:00,RFC,-1.457
9/30/2020 6:00,9/30/2020 2:00,OTHER,0
9/30/2020 5:00,9/30/2020 1:00,MIDATL,-1.269
9/30/2020 5:00,9/30/2020 1:00,SOUTH,-2.191
9/30/2020 5:00,9/30/2020 1:00,WEST,-0.236
9/30/2020 5:00,9/30/2020 1:00,RTO,-3.696
9/30/2020 5:00,9/30/2020 1:00,RFC,-1.505
9/30/2020 5:00,9/30/2020 1:00,OTHER,0
9/30/2020 4:00,9/30/2020 0:00,MIDATL,-1.253
9/30/2020 4:00,9/30/2020 0:00,SOUTH,-2.015
9/30/2020 4:00,9/30/2020 0:00,WEST,-0.227
9/30/2020 4:00,9/30/2020 0:00,RTO,-3.495
9/30/2020 4:00,9/30/2020 0:00,RFC,-1.48
9/30/2020 4:00,9/30/2020 0:00,OTHER,0
9/30/2020 3:00,9/29/2020 23:00,MIDATL,-1.238
9/30/2020 3:00,9/29/2020 23:00,SOUTH,-2.04
9/30/2020 3:00,9/29/2020 23:00,WEST,-0.243
9/30/2020 3:00,9/29/2020 23:00,RTO,-3.521
9/30/2020 3:00,9/29/2020 23:00,RFC,-1.481
9/30/2020 3:00,9/29/2020 23:00,OTHER,0
9/30/2020 2:00,9/29/2020 22:00,MIDATL,-1.253
9/30/2020 2:00,9/29/2020 22:00,SOUTH,-2.159
9/30/2020 2:00,9/29/2020 22:00,WEST,-0.237
9/30/2020 2:00,9/29/2020 22:00,RTO,-3.649
9/30/2020 2:00,9/29/2020 22:00,RFC,-1.49
9/30/2020 2:00,9/29/2020 22:00,OTHER,0
9/30/2020 1:00,9/29/2020 21:00,MIDATL,-1.248
9/30/2020 1:00,9/29/2020 21:00,SOUTH,-1.969
9/30/2020 1:00,9/29/2020 21:00,WEST,-0.275
9/30/2020 1:00,9/29/2020 21:00,RTO,-3.492
9/30/2020 1:00,9/29/2020 21:00,RFC,-1.523
9/30/2020 1:00,9/29/2020 21:00,OTHER,0
9/30/2020 0:00,9/29/2020 20:00,MIDATL,-1.234
9/30/2020 0:00,9/29/2020 20:00,SOUTH,-2.108
9/30/2020 0:00,9/29/2020 20:00,WEST,-0.245
9/30/2020 0:00,9/29/2020 20:00,RTO,-3.587
9/30/2020 0:00,9/29/2020 20:00,RFC,-1.479
9/30/2020 0:00,9/29/2020 20:00,OTHER,0
9/29/2020 23:00,9/29/2020 19:00,MIDATL,-1.229
9/29/2020 23:00,9/29/2020 19:00,SOUTH,-2.037
9/29/2020 23:00,9/29/2020 19:00,WEST,-0.225
9/29/2020 23:00,9/29/2020 19:00,RTO,-3.491
9/29/2020 23:00,9/29/2020 19:00,RFC,-1.454
9/29/2020 23:00,9/29/2020 19:00,OTHER,0
9/29/2020 22:00,9/29/2020 18:00,MIDATL,1.141
9/29/2020 22:00,9/29/2020 18:00,SOUTH,5.009
9/29/2020 22:00,9/29/2020 18:00,WEST,0.593
9/29/2020 22:00,9/29/2020 18:00,RTO,6.743
9/29/2020 22:00,9/29/2020 18:00,RFC,1.734
9/29/2020 22:00,9/29/2020 18:00,OTHER,0
9/29/2020 21:00,9/29/2020 17:00,MIDATL,31.275
9/29/2020 21:00,9/29/2020 17:00,SOUTH,56.74
9/29/2020 21:00,9/29/2020 17:00,WEST,4.623
9/29/2020 21:00,9/29/2020 17:00,RTO,92.638
9/29/2020 21:00,9/29/2020 17:00,RFC,35.898
9/29/2020 21:00,9/29/2020 17:00,OTHER,0
9/29/2020 20:00,9/29/2020 16:00,MIDATL,82.025
9/29/2020 20:00,9/29/2020 16:00,SOUTH,245.101
9/29/2020 20:00,9/29/2020 16:00,WEST,8.165
9/29/2020 20:00,9/29/2020 16:00,RTO,335.291
9/29/2020 20:00,9/29/2020 16:00,RFC,90.19
9/29/2020 20:00,9/29/2020 16:00,OTHER,0
9/29/2020 19:00,9/29/2020 15:00,MIDATL,142.044
9/29/2020 19:00,9/29/2020 15:00,SOUTH,432.673
9/29/2020 19:00,9/29/2020 15:00,WEST,11.219
9/29/2020 19:00,9/29/2020 15:00,RTO,585.936
9/29/2020 19:00,9/29/2020 15:00,RFC,153.263
9/29/2020 19:00,9/29/2020 15:00,OTHER,0
9/29/2020 18:00,9/29/2020 14:00,MIDATL,166.653
9/29/2020 18:00,9/29/2020 14:00,SOUTH,462.873
9/29/2020 18:00,9/29/2020 14:00,WEST,22.062
