datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
9/30/2020 10:00,9/30/2020 6:00,RTO,6205.78
9/30/2020 10:00,9/30/2020 6:00,RFC,6095.187
9/30/2020 9:00,9/30/2020 5:00,MIDATL,602.283
9/30/2020 9:00,9/30/2020 5:00,SOUTH,108.586
9/30/2020 9:00,9/30/2020 5:00,WEST,5177.875
9/30/2020 9:00,9/30/2020 5:00,RTO,5888.744
9/30/2020 9:00,9/30/2020 5:00,RFC,5780.158
9/30/2020 8:00,9/30/2020 4:00,MIDATL,501.787
9/30/2020 8:00,9/30/2020 4:00,SOUTH,97.278
9/30/2020 8:00,9/30/2020 4:00,WEST,5161.454
9/30/2020 8:00,9/30/2020 4:00,RTO,5760.519
9/30/2020 8:00,9/30/2020 4:00,RFC,5663.241
9/30/2020 7:00,9/30/2020 3:00,MIDATL,468.312
9/30/2020 7:00,9/30/2020 3:00,SOUTH,95.102
9/30/2020 7:00,9/30/2020 3:00,WEST,4650.425
9/30/2020 7:00,9/30/2020 3:00,RTO,5213.839
9/30/2020 7:00,9/30/2020 3:00,RFC,5118.737
9/30/2020 6:00,9/30/2020 2:00,MIDATL,391.329
9/30/2020 6:00,9/30/2020 2:00,SOUTH,101.177
9/30/2020 6:00,9/30/2020 2:00,WEST,4468.799
9/30/2020 6:00,9/30/2020 2:00,RTO,4961.305
9/30/2020 6:00,9/30/2020 2:00,RFC,4860.128
9/30/2020 5:00,9/30/2020 1:00,MIDATL,302.722
9/30/2020 5:00,9/30/2020 1:00,SOUTH,75.073
9/30/2020 5:00,9/30/2020 1:00,WEST,3943.81
9/30/2020 5:00,9/30/2020 1:00,RTO,4321.605
9/30/2020 5:00,9/30/2020 1:00,RFC,4246.532
9/30/2020 4:00,9/30/2020 0:00,MIDATL,183.78
9/30/2020 4:00,9/30/2020 0:00,SOUTH,33.214
9/30/2020 4:00,9/30/2020 0:00,WEST,3101.693
9/30/2020 4:00,9/30/2020 0:00,RTO,3318.687
9/30/2020 4:00,9/30/2020 0:00,RFC,3285.473
9/30/2020 3:00,9/29/2020 23:00,MIDATL,161.787
9/30/2020 3:00,9/29/2020 23:00,SOUTH,13.614
9/30/2020 3:00,9/29/2020 23:00,WEST,2741.255
9/30/2020 3:00,9/29/2020 23:00,RTO,2916.656
9/30/2020 3:00,9/29/2020 23:00,RFC,2903.042
9/30/2020 2:00,9/29/2020 22:00,MIDATL,135.71
9/30/2020 2:00,9/29/2020 22:00,SOUTH,17.307
9/30/2020 2:00,9/29/2020 22:00,WEST,2323.868
9/30/2020 2:00,9/29/2020 22:00,RTO,2476.885
9/30/2020 2:00,9/29/2020 22:00,RFC,2459.578
9/30/2020 1:00,9/29/2020 21:00,MIDATL,92.878
9/30/2020 1:00,9/29/2020 21:00,SOUTH,13.614
9/30/2020 1:00,9/29/2020 21:00,WEST,1812.231
9/30/2020 1:00,9/29/2020 21:00,RTO,1918.723
9/30/2020 1:00,9/29/2020 21:00,RFC,1905.109
9/30/2020 0:00,9/29/2020 20:00,MIDATL,48.151
9/30/2020 0:00,9/29/2020 20:00,SOUTH,11.207
9/30/2020 0:00,9/29/2020 20:00,WEST,960.231
9/30/2020 0:00,9/29/2020 20:00,RTO,1019.589
9/30/2020 0:00,9/29/2020 20:00,RFC,1008.382
9/29/2020 23:00,9/29/2020 19:00,MIDATL,55.952
9/29/2020 23:00,9/29/2020 19:00,SOUTH,18.414
9/29/2020 23:00,9/29/2020 19:00,WEST,675.82
9/29/2020 23:00,9/29/2020 19:00,RTO,750.186
9/29/2020 23:00,9/29/2020 19:00,RFC,731.772
9/29/2020 22:00,9/29/2020 18:00,MIDATL,57.218
9/29/2020 22:00,9/29/2020 18:00,SOUTH,49.107
9/29/2020 22:00,9/29/2020 18:00,WEST,1050.987
9/29/2020 22:00,9/29/2020 18:00,RTO,1157.312
9/29/2020 22:00,9/29/2020 18:00,RFC,1108.205
9/29/2020 21:00,9/29/2020 17:00,MIDATL,104.014
9/29/2020 21:00,9/29/2020 17:00,SOUTH,77.207
9/29/2020 21:00,9/29/2020 17:00,WEST,1512.776
9/29/2020 21:00,9/29/2020 17:00,RTO,1693.997
9/29/2020 21:00,9/29/2020 17:00,RFC,1616.79
9/29/2020 20:00,9/29/2020 16:00,MIDATL,90.723
9/29/2020 20:00,9/29/2020 16:00,SOUTH,72.379
9/29/2020 20:00,9/29/2020 16:00,WEST,1581.057
9/29/2020 20:00,9/29/2020 16:00,RTO,1744.159
9/29/2020 20:00,9/29/2020 16:00,RFC,1671.78
9/29/2020 19:00,9/29/2020 15:00,MIDATL,72.062
9/29/2020 19:00,9/29/2020 15:00,SOUTH,32.816
9/29/2020 19:00,9/29/2020 15:00,WEST,1284.178
9/29/2020 19:00,9/29/2020 15:00,RTO,1389.056
9/29/2020 19:00,9/29/2020 15:00,RFC,1356.24
9/29/2020 18:00,9/29/2020 14:00,MIDATL,115.592
9/29/2020 18:00,9/29/2020 14:00,SOUTH,20.064
9/29/2020 18:00,9/29/2020 14:00,WEST,1187.198
9/29/2020 18:00,9/29/2020 14:00,RTO,1322.854
9/29/2020 18:00,9/29/2020 14:00,RFC,1302.79
9/29/2020 17:00,9/29/2020 13:00,MIDATL,61.96
