voltage_kv,datetime,pnode_id,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr,wind_generation_mw,mw,fuel_percentage_of_total,is_renewable
13.0,2020-07-21 11:00:00,397393565.34090906,25.86999999999999,34.225,8.02886363636364,0.3254545454545456,1.0,1.0,-1.4480000000000002,426.4,0.0,1.0
13.0,2020-07-21 12:00:00,397393565.34090906,32.089999999999996,39.594772727272726,7.121590909090906,0.38704545454545447,1.0,1.0,3.092,405.29999999999967,0.0,1.0
13.0,2020-07-21 13:00:00,397393565.34090906,43.01999999999999,48.62090909090909,5.033636363636364,0.5695454545454546,1.0,1.0,39.17699999999997,1046.0999999999992,0.010000000000000005,1.0
13.0,2020-07-21 14:00:00,397393565.34090906,41.17000000000002,41.796590909090895,0.1831818181818182,0.44454545454545474,1.0,1.0,32.23299999999997,1133.0999999999992,0.010000000000000005,1.0
13.0,2020-07-21 15:00:00,397393565.34090906,26.38000000000001,26.958409090909097,0.38636363636363635,0.18863636363636346,1.0,1.0,46.74099999999999,1015.3000000000004,0.010000000000000005,1.0
13.0,2020-07-21 16:00:00,397393565.34090906,27.20000000000002,27.500227272727273,0.11272727272727275,0.1922727272727272,1.0,1.0,88.84200000000007,655.0999999999996,0.0,1.0
13.0,2020-07-21 17:00:00,397393565.34090906,35.23000000000001,38.66113636363636,3.1511363636363643,0.2781818181818181,1.0,1.0,25.52499999999999,1092.1999999999994,0.010000000000000005,1.0
13.0,2020-07-21 18:00:00,397393565.34090906,28.04999999999998,25.92681818181819,-2.253863636363637,0.13568181818181813,1.0,1.0,7.307999999999994,567.0,0.0,1.0
13.0,2020-07-21 19:00:00,397393565.34090906,24.029999999999983,23.395454545454548,-0.6829545454545454,0.04999999999999996,1.0,1.0,3.3509999999999995,564.2000000000004,0.0,1.0
13.0,2020-07-21 20:00:00,397393565.34090906,23.570000000000025,23.33045454545454,-0.2,-0.03954545454545455,1.0,1.0,16.381999999999987,562.9000000000003,0.0,1.0
13.0,2020-07-21 21:00:00,397393565.34090906,29.070000000000007,28.593636363636357,-0.344772727272727,-0.13977272727272722,1.0,1.0,35.57300000000003,940.6999999999997,0.010000000000000005,1.0
13.0,2020-07-21 22:00:00,397393565.34090906,22.190000000000026,21.973636363636373,-0.11318181818181819,-0.1068181818181818,1.0,1.0,44.13599999999998,711.0,0.010000000000000005,1.0
13.0,2020-07-21 23:00:00,397393565.34090906,20.299999999999986,20.2525,-0.010000000000000005,-0.031136363636363615,1.0,1.0,61.822000000000074,1157.5,0.010000000000000005,1.0
13.0,2020-07-22 00:00:00,397393565.34090906,17.83000000000001,17.882272727272728,0.05,0.005227272727272737,1.0,1.0,56.07999999999997,1570.8000000000013,0.010000000000000005,1.0
13.0,2020-07-22 01:00:00,397393565.34090906,16.399999999999988,16.526818181818186,0.11000000000000001,0.019090909090909082,1.0,1.0,26.422000000000022,1297.6999999999991,0.010000000000000005,1.0
13.0,2020-07-22 02:00:00,397393565.34090906,15.169999999999995,15.211363636363638,0.05,-0.006363636363636376,1.0,1.0,48.141000000000034,1832.1000000000001,0.02000000000000001,1.0
13.0,2020-07-22 03:00:00,397393565.34090906,14.779999999999983,14.805681818181819,0.05,-0.020454545454545472,1.0,1.0,65.96000000000002,1206.599999999999,0.010000000000000005,1.0
13.0,2020-07-22 04:00:00,397393565.34090906,14.80999999999999,14.835454545454542,0.05,-0.027045454545454543,1.0,1.0,117.991,1028.0,0.010000000000000005,1.0
13.0,2020-07-22 05:00:00,397393565.34090906,16.169999999999998,16.206590909090902,0.06999999999999997,-0.033409090909090916,1.0,1.0,143.8419999999999,1116.1999999999994,0.010000000000000005,1.0
13.0,2020-07-22 06:00:00,397393565.34090906,17.759999999999994,17.76772727272726,0.06999999999999997,-0.06159090909090908,1.0,1.0,133.65599999999998,1115.9000000000008,0.010000000000000005,1.0
13.0,2020-07-22 07:00:00,397393565.34090906,18.009999999999994,17.933863636363643,0.0068181818181818205,-0.07977272727272729,1.0,1.0,109.25399999999992,1142.5999999999992,0.010000000000000005,1.0
13.0,2020-07-22 08:00:00,397393565.34090906,16.960000000000004,16.84227272727272,-0.0818181818181818,-0.040227272727272716,1.0,1.0,107.368,1058.3000000000006,0.010000000000000005,1.0
13.0,2020-07-22 09:00:00,397393565.34090906,20.08000000000001,20.01772727272727,-0.11318181818181819,0.050000000000000065,1.0,1.0,120.76000000000013,1182.400000000001,0.010000000000000005,1.0
13.0,2020-07-22 10:00:00,397393565.34090906,22.419999999999984,22.46431818181819,-0.05681818181818185,0.10250000000000005,1.0,1.0,41.65100000000002,880.0999999999993,0.010000000000000005,1.0
13.0,2020-07-22 11:00:00,397393565.34090906,23.679999999999975,24.312727272727273,0.5025000000000003,0.13022727272727272,1.0,1.0,25.784000000000006,857.5,0.010000000000000005,1.0
13.0,2020-07-22 12:00:00,397393565.34090906,35.84999999999997,41.77886363636361,5.688636363636366,0.2368181818181818,1.0,1.0,124.42900000000007,1317.0,0.010000000000000005,1.0
13.0,2020-07-22 13:00:00,397393565.34090906,87.92999999999995,106.57136363636364,17.860227272727272,0.7838636363636368,1.0,1.0,147.09500000000003,1295.8000000000009,0.010000000000000005,1.0
13.0,2020-07-22 14:00:00,397393565.34090906,24.60000000000001,24.75159090909092,-0.026136363636363655,0.18113636363636362,1.0,1.0,173.90300000000005,1230.400000000001,0.010000000000000005,1.0
13.0,2020-07-22 15:00:00,397393565.34090906,34.49,27.165681818181824,-7.372500000000001,0.051590909090909104,1.0,1.0,191.15899999999985,1064.0,0.010000000000000005,1.0
13.0,2020-07-22 16:00:00,397393565.34090906,95.73,29.840454545454556,-64.61113636363635,-1.2745454545454544,1.0,1.0,215.96399999999997,991.0,0.010000000000000005,1.0
13.0,2020-07-22 17:00:00,397393565.34090906,43.849999999999966,24.837045454545468,-18.18772727272727,-0.8281818181818177,1.0,1.0,207.07800000000015,1126.5999999999992,0.010000000000000005,1.0
13.0,2020-07-22 18:00:00,397393565.34090906,31.450000000000024,19.790681818181802,-11.009318181818186,-0.6484090909090909,1.0,1.0,206.5829999999999,1183.3000000000009,0.010000000000000005,1.0
13.0,2020-07-22 19:00:00,397393565.34090906,21.46000000000001,19.111818181818176,-1.8981818181818175,-0.4509090909090908,1.0,1.0,152.40599999999998,930.0,0.010000000000000005,1.0
13.0,2020-07-22 20:00:00,397393565.34090906,19.5,18.45795454545456,-0.6974999999999998,-0.3413636363636364,1.0,1.0,168.95600000000007,926.4000000000008,0.010000000000000005,1.0
13.0,2020-07-22 21:00:00,397393565.34090906,21.179999999999982,20.481590909090908,-0.34999999999999987,-0.3456818181818183,1.0,1.0,259.73899999999975,1011.4000000000008,0.010000000000000005,1.0
13.0,2020-07-22 22:00:00,397393565.34090906,19.37,18.812727272727273,-0.27999999999999986,-0.27386363636363636,1.0,1.0,329.78100000000035,1196.5,0.010000000000000005,1.0
13.0,2020-07-22 23:00:00,397393565.34090906,19.13,19.017272727272722,0.1,-0.2050000000000001,1.0,1.0,314.7759999999999,1087.9000000000008,0.010000000000000005,1.0
13.0,2020-07-23 00:00:00,397393565.34090906,18.259999999999994,18.21136363636363,0.12999999999999992,-0.18068181818181808,1.0,1.0,292.11400000000003,1406.300000000001,0.010000000000000005,1.0
13.0,2020-07-23 01:00:00,397393565.34090906,17.30999999999998,17.31840909090909,0.09136363636363631,-0.08045454545454547,1.0,1.0,341.8719999999998,1417.199999999999,0.010000000000000005,1.0
13.0,2020-07-23 02:00:00,397393565.34090906,15.649999999999988,15.672500000000007,0.08000000000000004,-0.055681818181818186,1.0,1.0,333.73799999999983,1401.699999999999,0.010000000000000005,1.0
13.0,2020-07-23 03:00:00,397393565.34090906,14.589999999999996,14.621363636363624,0.05,-0.025227272727272723,1.0,1.0,310.85499999999973,1359.900000000001,0.010000000000000005,1.0
13.0,2020-07-23 04:00:00,397393565.34090906,14.600000000000012,14.638636363636367,0.05,-0.016363636363636365,1.0,1.0,300.3960000000002,1286.6999999999991,0.010000000000000005,1.0
13.0,2020-07-23 05:00:00,397393565.34090906,15.879999999999997,15.914772727272732,0.08000000000000004,-0.045227272727272734,1.0,1.0,345.902,1273.1999999999991,0.010000000000000005,1.0
