voltage_kv,datetime,pnode_id,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr,solar_generation_mw,mw,fuel_percentage_of_total,is_renewable
138.0,2020-07-14 02:00:00,318376392.6904762,13.209999999999996,13.47142857142857,0.11571428571428574,0.14595238095238103,1.0,1.0,-1.2060000000000008,14.2,0.0,1.0
138.0,2020-07-14 03:00:00,318376392.6904762,13.459999999999996,13.638809523809522,0.03000000000000002,0.14880952380952386,1.0,1.0,-1.1510000000000011,14.2,0.0,1.0
138.0,2020-07-14 04:00:00,318376392.6904762,13.279999999999987,13.442142857142859,0.0,0.1621428571428571,1.0,1.0,-1.1300000000000003,14.2,0.0,1.0
138.0,2020-07-14 05:00:00,318376392.6904762,14.05,14.255714285714284,0.0,0.20214285714285715,1.0,1.0,-0.08700000000000008,14.2,0.0,1.0
138.0,2020-07-14 06:00:00,318376392.6904762,14.100000000000009,14.303095238095244,0.0,0.1966666666666667,1.0,1.0,23.169999999999987,24.299999999999983,0.0,1.0
138.0,2020-07-14 07:00:00,318376392.6904762,15.929999999999993,16.130000000000003,0.0,0.20000000000000004,1.0,1.0,157.47999999999985,433.2999999999997,0.0,1.0
138.0,2020-07-14 08:00:00,318376392.6904762,19.429999999999986,19.524047619047614,-0.08999999999999996,0.180952380952381,1.0,1.0,356.2900000000004,1084.9000000000008,0.010000000000000005,1.0
138.0,2020-07-14 09:00:00,318376392.6904762,26.029999999999983,26.19928571428572,-0.03452380952380955,0.19928571428571418,1.0,1.0,524.0649999999999,1402.699999999999,0.010000000000000005,1.0
138.0,2020-07-14 10:00:00,318376392.6904762,21.399999999999984,21.61809523809523,-0.05857142857142858,0.272142857142857,1.0,1.0,644.0829999999997,1583.5999999999992,0.010000000000000005,1.0
138.0,2020-07-14 11:00:00,318376392.6904762,23.36000000000001,24.72523809523809,1.0695238095238095,0.2988095238095238,1.0,1.0,693.2099999999994,1639.0,0.010000000000000005,1.0
138.0,2020-07-14 12:00:00,318376392.6904762,62.15000000000005,105.4769047619048,42.27880952380952,1.04952380952381,1.0,1.0,682.0299999999996,1531.199999999999,0.010000000000000005,1.0
138.0,2020-07-14 13:00:00,318376392.6904762,21.159999999999993,21.489285714285703,0.04285714285714288,0.2873809523809524,1.0,1.0,638.8489999999994,1378.0,0.010000000000000005,1.0
138.0,2020-07-14 14:00:00,318376392.6904762,23.73000000000001,24.045952380952375,0.11285714285714295,0.20666666666666667,1.0,1.0,585.3650000000005,1285.8000000000009,0.010000000000000005,1.0
138.0,2020-07-14 15:00:00,318376392.6904762,23.98000000000001,26.077380952380974,1.9514285714285715,0.14785714285714285,1.0,1.0,569.8640000000003,1383.800000000001,0.010000000000000005,1.0
138.0,2020-07-14 16:00:00,318376392.6904762,41.390000000000036,56.31619047619047,14.548333333333343,0.37404761904761913,1.0,1.0,483.9060000000002,1217.400000000001,0.010000000000000005,1.0
138.0,2020-07-14 17:00:00,318376392.6904762,51.700000000000024,76.88142857142859,24.639999999999997,0.5459523809523811,1.0,1.0,369.616,1019.1999999999997,0.010000000000000005,1.0
138.0,2020-07-14 18:00:00,318376392.6904762,29.67,36.615476190476194,6.6664285714285745,0.2761904761904764,1.0,1.0,211.29500000000002,813.7000000000004,0.010000000000000005,1.0
138.0,2020-07-14 19:00:00,318376392.6904762,26.880000000000006,38.60976190476189,11.463333333333333,0.26238095238095227,1.0,1.0,56.13200000000002,233.2,0.0,1.0
138.0,2020-07-14 20:00:00,318376392.6904762,29.160000000000007,43.51404761904761,13.999999999999995,0.35428571428571426,1.0,1.0,5.401999999999994,18.0,0.0,1.0
138.0,2020-07-14 21:00:00,318376392.6904762,59.59,96.59738095238095,36.21857142857143,0.7835714285714285,1.0,1.0,3.0100000000000016,18.0,0.0,1.0
138.0,2020-07-14 22:00:00,318376392.6904762,30.08,44.515714285714274,14.197142857142856,0.24428571428571416,1.0,1.0,3.046000000000003,18.0,0.0,1.0
138.0,2020-07-14 23:00:00,318376392.6904762,18.63999999999999,18.72571428571428,0.010000000000000005,0.08571428571428569,1.0,1.0,3.048000000000001,18.0,0.0,1.0
138.0,2020-07-15 00:00:00,318376392.6904762,15.089999999999996,15.203809523809522,0.010000000000000005,0.11,1.0,1.0,3.019000000000002,18.0,0.0,1.0
138.0,2020-07-15 01:00:00,318376392.6904762,13.440000000000003,13.558809523809524,0.0,0.12071428571428575,1.0,1.0,3.0400000000000027,18.0,0.0,1.0
138.0,2020-07-15 02:00:00,318376392.6904762,13.300000000000002,13.417142857142856,0.0,0.11976190476190472,1.0,1.0,3.004999999999998,18.0,0.0,1.0
138.0,2020-07-15 03:00:00,318376392.6904762,12.709999999999994,12.837619047619047,0.0,0.13071428571428564,1.0,1.0,3.015,18.0,0.0,1.0
138.0,2020-07-15 04:00:00,318376392.6904762,12.269999999999992,12.40761904761905,0.0,0.1333333333333333,1.0,1.0,3.0310000000000024,18.0,0.0,1.0
138.0,2020-07-15 05:00:00,318376392.6904762,12.930000000000001,13.089999999999996,0.0,0.16333333333333333,1.0,1.0,3.5019999999999993,18.0,0.0,1.0
138.0,2020-07-15 06:00:00,318376392.6904762,12.680000000000003,12.822142857142854,0.0,0.13714285714285715,1.0,1.0,35.37100000000002,35.5,0.0,1.0
138.0,2020-07-15 07:00:00,318376392.6904762,13.459999999999996,13.572380952380948,0.0,0.11238095238095236,1.0,1.0,177.576,368.89999999999975,0.0,1.0
138.0,2020-07-15 08:00:00,318376392.6904762,17.279999999999983,17.39666666666666,0.0,0.11547619047619044,1.0,1.0,355.2180000000003,924.4000000000008,0.010000000000000005,1.0
138.0,2020-07-15 09:00:00,318376392.6904762,32.160000000000004,45.702380952380935,13.286428571428573,0.2557142857142857,1.0,1.0,485.92599999999976,1406.099999999999,0.010000000000000005,1.0
138.0,2020-07-15 10:00:00,318376392.6904762,32.32999999999999,46.922380952380955,14.295952380952375,0.29428571428571426,1.0,1.0,563.8919999999998,1508.5,0.010000000000000005,1.0
138.0,2020-07-15 11:00:00,318376392.6904762,67.17000000000004,117.45761904761903,49.6497619047619,0.6397619047619048,1.0,1.0,605.143,1511.5,0.010000000000000005,1.0
138.0,2020-07-15 12:00:00,318376392.6904762,58.34999999999995,97.5947619047619,38.25166666666665,1.0004761904761903,1.0,1.0,615.0390000000004,1514.5,0.010000000000000005,1.0
138.0,2020-07-15 13:00:00,318376392.6904762,29.47000000000002,38.50238095238097,8.426666666666666,0.6030952380952379,1.0,1.0,598.3280000000002,1383.900000000001,0.010000000000000005,1.0
138.0,2020-07-15 14:00:00,318376392.6904762,20.039999999999992,21.202380952380953,0.7233333333333333,0.4409523809523809,1.0,1.0,593.321,1385.0,0.010000000000000005,1.0
138.0,2020-07-15 15:00:00,318376392.6904762,25.259999999999998,26.28690476190476,0.45666666666666655,0.5747619047619046,1.0,1.0,508.69199999999944,1297.6999999999991,0.010000000000000005,1.0
138.0,2020-07-15 16:00:00,318376392.6904762,31.490000000000002,38.14380952380952,5.762142857142858,0.8904761904761903,1.0,1.0,432.0220000000004,1252.099999999999,0.010000000000000005,1.0
138.0,2020-07-15 17:00:00,318376392.6904762,26.299999999999983,31.997619047619043,4.939761904761906,0.7628571428571428,1.0,1.0,324.098,1190.099999999999,0.010000000000000005,1.0
138.0,2020-07-15 18:00:00,318376392.6904762,29.460000000000015,40.22833333333337,9.936190476190474,0.8385714285714285,1.0,1.0,195.3639999999998,807.5999999999995,0.010000000000000005,1.0
138.0,2020-07-15 19:00:00,318376392.6904762,24.419999999999987,26.672619047619047,1.5988095238095243,0.6528571428571428,1.0,1.0,54.051999999999985,351.0,0.0,1.0
138.0,2020-07-15 20:00:00,318376392.6904762,20.48000000000001,22.19738095238095,1.2080952380952379,0.5164285714285712,1.0,1.0,5.248999999999997,61.19999999999999,0.0,1.0
138.0,2020-07-15 21:00:00,318376392.6904762,61.929999999999986,117.42357142857145,53.90357142857141,1.5876190476190475,1.0,1.0,3.0270000000000006,25.899999999999988,0.0,1.0
138.0,2020-07-15 22:00:00,318376392.6904762,17.25,20.816904761904773,3.1040476190476207,0.4638095238095239,1.0,1.0,3.019000000000002,25.899999999999988,0.0,1.0
